nama_outlet|nomor_XL|alamat|kecamatan|member/cvs|no_cvs|sd|site
CSK-OPIK CELL|087887724510|KP. BUKIT GADING CISOKA BLOK  B4 NO. 11,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK-ERY CELL|087885782463|JL.RAYA CISOKA TAMAN ADIYASA INDAH REGENCY RT 04/06,NA,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ELA CELL|087884214332|JL. RAYA KRONJO RT 02/02,SAMPING JMBTN KRONJO,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
DADENG CELL|087880294059|JL.RAYA CISOKA TIGARAKSA,NA,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
VENUS CELL|087880291757|TAMAN ADIYASA BLOK D 14 NO.26 RT 02/07 KEL. CIKASUNGKA,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-VIRGIN CELL|087880291716|TAMAN KIRANA SURYA KEL. PASANGGRAHAN,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
NOVITA CELL|087880291715|KP. CARINGIN RT 01/05 DS. CIBUGEL ,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-RIHANA CELL|087880291680|KP. CIBOGO RT 001/003 DS. PASANGGRAH ,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
NAFIZ CELL|087880173797|JL. RAYA CISOKA KP. BUGEL RT 03/02,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ANDI CELL|087880173795|JL.RY TAMAN ADIYASA KP.PESANGRAHAN RT 05/01 PESANGRAHAN SOLEAR,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
CSK FORTUNA CELL|087880173678|JL. RAYA CISOKA TIGARAKSA RT 01/04 KEL.KADU AGUNG,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
DADENG CELL 2|087880173674|JLN. RAYA SOLEAR RT 08/05,PERMANENT,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
IRA CELL|087878305425|,Kp cangkudu rt005/003,|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SLR-ADITIAS CELL|087877010837|JL.RAYA TAMAN ADIYASA SANGGRAHAN RT 01/04 DPN WRG IKAH,PERMANEN,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
HILMI CELL|087877010342|KP. CARINGIN RT. 02/01,NA,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
GG BROTHERS|087815870448|KP.PABRIK HEGARSARI KEL.TIGARAKSA KEC.TI,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
AKRAB CELLULER|087815870422|KP.MUNJUL DS.CILELES KEC.TIGARAKSA KAB.T,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
BK CELL|087815870407|KP.LODOG DS.PASANGGRAHAN KEC.SOLEAR KAB.,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
AZAM CELL|087815870397|KP.CISALAK DS.CIREUNDEU KEC.SOLEAR KAB.T,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
AMD 1 CELL|087785473762|kp melayu kec pakuhaji,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ADI CELL|087785473665|kp picung,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
SONO CELL|087785473623|KOMP.BMW S1 BLOK.B2 NO.11 DS.MAJA BARU K,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
ABUMAR CELL|087785473622|KP.JENGKOL MASJID DS.CIKASUNGKA,,TANGERANG|CISOKA|ABU HASAN|087888705333|085921261415|cikupa
